,Hindi_key,Hindi_value,Punjabi_key,Punjabi_value
13,No validation data available for selected language,चुनी गई भाषा के लिए सत्यापन का डेटा उपलब्ध नहीं है,,
15,Contributions made to Suno India,सुनो इंडिया में किए गए योगदान,,
18,0h 0m 0s Hrs transcribed,0h 0m 0s लिप्यंतरित किए गए,,
19,0h 0m 0s Hrs validated,0h 0m 0s सत्यापित किए गए,,
23,Hours transcribed and validated,इतने घंटे लिप्यंतरित और सत्यापित किए गए,,
24,x mins,x मिनट,,
25,x hrs,x घंटे,,
27,Your selected language,आपकी चुनी हुई भाषा,,
28,Top languages,मुख्य भाषाएं,,
29,VIEW ALL DETAILS,सभी जानकारी देंखें,,
30,VIEW DASHBOARD,डैशबोर्ड देखें,,
2,Home,होम पेज,,
3,ALL Languages,सभी भाषाएं,,
4,Select a language,कोई भाषा चुनें,,
5,"Data Last Updated: dd-mm-yyyy, hh:mm:ss pm","डेटा आख़िरी बार अपडेट किया गया: dd-mm-yyyy, hh:mm:ss pm",,
6,"Data Last Updated: dd-mm-yyyy, hh:mm:ss am","डेटा आख़िरी बार अपडेट किया गया: dd-mm-yyyy, hh:mm:ss am",,
8,X Languages,X भाषाएं,,
9,X People participated,X लोगों ने भाग लिया,,
10,X Hrs transcribed,X इमेज लेबल किए गए,,
11,X Hrs validated,X इमेज सत्यापित की गई,,
13,Progress Chart,प्रोग्रेस चार्ट,,
15,Number of hours,इमेज,,
16,Time,समय,,
17,Monthly,मासिक,,
18,Quarterly,तिमाही,,
19,Hrs transcribed,लेबल की गई इमेज,,
20,Hrs validated,इतने घंटे सत्यापित किए गए,,
21,Transcribed: X hrs  X mins  X secs,लिप्यंतरित: X घंटे  X मिनट  X सेकंड,,
22,Validated: X hrs X mins X secs,सत्यापित: X घंटे X मिनट X सेकंड,,
23,MMM XX,MMM XX,,
25,State wise distribution,राज्यवार ब्यौरा,,
27,<Name of the individual states>,<अलग-अलग राज्य के नाम>,,
28,Hrs Validated: X,इतने घंटे सत्यापित किए गए: X,,
29,Hrs Transcribed: X,इतने घंटे लिप्यंतरित किए गए: X,,
30,X people,X लोग,,
32,Data last updated on,डेटा आख़िरी बार अपडेट किया गया,,
0,Speaker Details,वक्ता की जानकारी,,
1,All the fields are optional,सभी फ़ील्ड वैकल्पिक हैं,,
2,Not You? Change User,क्या ये आप नहीं हैं? उपयोगकर्ता बदलें,,
3,Username,उपयोगकर्ता नाम,,
4,Enter preferred Username,पसंदीदा उपयोगकर्ता नाम डालें,,
5,Please enter a username that is within 12 characters,ऐसा उपयोगकर्ता नाम डालें जो 12 वर्णों से अधिक न हो,,
8,LET'S GO,आइए शुरू करें,,
1,Thank you for contributing to Suno India!,सुनो इंडिया में योगदान देने के लिए आपका धन्यवाद!,,
12,Contribute/Validate x sentences to unlock your 1st Badge.,अपना पहला बैज पाने के लिए x वाक्यों का योगदान दें / सत्यापित करें,,
19,You’ve won a Bronze/Silver/Gold/Platinum Badge for contributing to Suno India.,सुनो इंडिया में योगदान देने के लिए आपने कांस्य/रजत/स्वर्ण/प्लैटिनम बैज जीता है,,
20,Transcribed X sentences in [Language],[भाषा] में X वाक्य लिप्यंतरित किए गए,,
0,Type the text as you hear the audio,ऑडियो सुनते हुए टेक्स्ट को टाइप करें,,
2,Add Text,टेक्स्ट जोड़ें,,
3,Start Typing here,यहां टाइप करना शुरू करें,,
14,Audio recording is too small. Please Re-record,ऑडियो रिकॉर्डिंग बहुत छोटी है। कृपया फिर से रिकॉर्ड करें,,
16,Congratulations! You have contributed a batch of your voice!,आवाज़!,,
18,Recording will automatically stop after y Seconds,y सेकंड के बाद रिकॉर्डिंग अपने-आप रुक जाएगी,,
0,Back,वापस जाएं,,
1,Report,रिपोर्ट / शिकायत करें,,
2,Test your Speaker,अपने स्पीकर की जांच करें,,
3,Needs change,बदलाव ज़रूरी है,,
4,Correct,सही / ठीक करें,,
5,Play / Pause / Resume / Replay,चलाएं / रोकें / फिर से शुरू करें / फिर से चलाएं,,
6,Skip,छोड़ें,,
8,Get Chrome extension to type in any language you choose,अपनी चुनी हुई किसी भी भाषा में टाइप करने के लिए Chrome एक्सटेंशन डाउनलोड करें,,
9,Install Now,अभी इंस्टॉल करें,,
10,Watch the Video,वीडियो देखें,,
11,Watch the Phonetic Keyboard installation instructions,फ़ोनेटिक कीबोर्ड इंस्टॉल करने के निर्देश देखें,,
13,Does the audio match the text?,क्या ऑडियो टेक्स्ट से मेल खाता है?,,
15,Original Text,मूल टेक्स्ट,,
16,Your Edit,आपका बदलाव,,
17,Virtual Keyboard,वर्चुअल कीबोर्ड,,
18,Cancel,रद्द करें,,
19,Submit,सबमिट करें,,
1,"Earn badges or certificate by contributing to Suno India. Transcribe a sentence in language of your choice. Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Suno India is in the diversity of the people i.e. YOU.","सुनो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में वाक्य को लिप्यंतरित करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। सुनो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
4,The levels defined by an overall contributions on Suno India. Please see the criteria that defines different levels below,सुनो इंडिया पर कुल योगदानों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें,,
6,Contributions (Transcribing),योगदान (लिप्यंतरण),,
9,Transcribing : 5 sentences,लिप्यंतरण : 5 वाक्य,,
12,Transcribing : 50 sentences,लिप्यंतरण : 50 वाक्य,,
15,Transcribing : 100 sentences,लिप्यंतरण : 100 वाक्य,,
18,Transcribing : 200 sentences,लिप्यंतरण : 200 वाक्य,,
21,"Please note that your levels and badges may take upto 48hrs to update. Your contribution does not expire, but will go through validation through Dekho crowdsourcing initiative. Please remain an active contributor to stand a chance to get recognised by the Ministry of Electronics and Information Technology.","कृपया ध्यान दें कि आपके लेवल और बैज अपडेट होने में 48 घंटे तक लग सकते हैं। आपके योगदान की समयसीमा ख़त्म नहीं होती है, लेकिन उसे देखो/सुनो इंडिया की क्राउडसोर्सिंग पहल के माध्यम से सत्यापन की प्रक्रिया से गुज़रना होता है। इलेक्ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय द्वारा मान्यता पाने का मौक़ा बनाए रखने के लिए, एक सक्रिय योगदानकर्ता बने रहें।",,
24,Levels and Badging,लेवल और बैज,,
25,"Earn badges or certificate by contributing to Suno India.  Validate the sentence that is transcibed in your desired language.  Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Suno India is in the diversity of the people i.e. YOU.","सुनो इंडिया में योगदान देकर बैज या सर्टिफ़िकेट जीतें। अपनी पसंद की भाषा में लिप्यंतरित वाक्य को सत्यापित करें। अपने सोशल सर्कल में बैज शेयर करें, अपना भाषा समुदाय बनाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। सुनो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
27,Contributor Levels,योगदानकर्ता के लेवल,,
28,The levels defined by an overall validations on Suno India. Please see the criteria that defines different levels below:,सुनो इंडिया पर कुल सत्यापनों के अनुसार तय किए गए लेवल। कृपया नीचे दिए गए अलग-अलग लेवल तय करने वाला मानक देखें:,,
29,Level,लेवल,,
30,Contributions (Validating),योगदान (सत्यापन),,
31,Badge,बैज,,
32,Level 1,लेवल 1,,
33,Validating : 5 sentences,सत्यापन : 5 वाक्य,,
35,Level 2,लेवल 2,,
36,Validating  : 50 sentences,सत्यापन : 50 वाक्य,,
38,Level 3,लेवल 3,,
39,Validating : 100 sentences,सत्यापन : 100 वाक्य,,
41,Level 4,लेवल 4,,
42,Validating : 200 sentences,सत्यापन : 200 वाक्य,,
45,"Please note that your levels and badges may take upto 48hrs to update. Your contribution does not expire, but will be validated. Please remain an active contributor to stand a chance to get recognised by the Ministry of Electronics and Information Technology.","कृपया ध्यान दें कि आपके लेवल और बैज अपडेट होने में 48 घंटे तक लग सकते हैं। आपके योगदान की समयसीमा ख़त्म नहीं होती है, लेकिन उनका सत्यापन किया जाएगा। इलेक्ट्रॉनिकी और सूचना प्रौद्योगिकी मंत्रालय द्वारा मान्यता पाने का मौक़ा बनाए रखने के लिए, एक सक्रिय योगदानकर्ता बने रहें।",,
13,You’ve earned your Badge,आपने अपना बैज जीत लिया है,,
15,Your next goal is to reach x sentences to unlock your Silver Badge.,अपना रजत/सिल्वर बैज जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है,,
16,Your next goal is to reach x sentences to unlock your Gold Badge.,अपना स्वर्ण/गोल्ड बैज जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है,,
17,Your next goal is to reach x sentences to unlock your Platinum Badge.,अपना प्लैटिनम बैज जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है,,
21,Badge ID,बैज आईडी,,
30,You’ve earned your Bronze Badge,आपने कांस्य/ब्रोंज बैज जीत लिया है,,
31,You’ve earned your Silver Badge,आपने रजत/सिल्वर बैज जीत लिया है,,
32,You’ve earned your Gold Badge,आपने स्वर्ण/गोल्ड बैज जीत लिया है,,
33,You’ve earned your Platinum Badge,आपने प्लैटिनम बैज जीत लिया है,,
44,Contribute for your language!,अपनी भाषा के लिए योगदान दें!,,
45,Thank you for contributing to Bolo India!,बोलो इंडिया में योगदान देने के लिए आपका धन्यवाद!,,
47,You have got us 2 contributions closer to our monthly goal,आपने हमें हमारे मासिक लक्ष्य के 2 योगदान करीब ला दिया है,,
48,X to go!,X योगदान बाकी है!,,
50,Participate to see [language] in top 3,[भाषा] को मुख्य 3 भाषाओं में देखने के लिए भागीदारी करें,,
51,Participations,भागीदारियां,,
52,Language vs top 3 languages,भाषा बनाम मुख्य 3 भाषाएं,,
54,Register to save and track your progress with your account,अपने खाते में अपनी प्रोग्रेस सेव और ट्रैक करने के लिए रजिस्टर करें,,
56,Contribute/Validate x hours to unlock your 1st Badge.,अपना पहला बैज जीतने के लिए x घंटों का योगदान दें / सत्यापन करें,,
57,More Details,अधिक जानकारी,,
63,You’ve won a Bronze/Silver/Gold/Platinum Badge for contributing to Bolo India.,आपने बोलो इंडिया में योगदान देकर ब्रोंज/सिल्वर/गोल्ड/प्लैटिनम बैज जीता है।,,
64,Recorded X Hours/mins in [Language],[भाषा] में X घंटे/मिनट रिकॉर्ड किए गए,,
65,One step closer to building a world class <dataset> for Indian languages,भारतीय भाषाओं के लिए विश्व स्तरीय <डेटासेट> बनाने के एक कदम नज़दीक,,
70,your badges,आपके बैज,,
71,you are a [bronze/silver/gold/platinum] contributer,आप एक [ब्रोंज/सिल्वर/गोल्ड/प्लैटिनम] योगदानकर्ता हैं,,
7,You are just x images away from earning your Bronze Badge.,आप अपना कांस्य/ब्रोंज बैज जीतने से सिर्फ़ x इमेज दूर हैं।,,
8,You are just x images away from earning your Silver Badge.,आप अपना रजत/सिल्वर बैज जीतने से सिर्फ़ x इमेज दूर हैं।,,
9,You are just x images away from earning your Gold Badge.,आप अपना स्वर्ण/गोल्ड बैज जीतने से सिर्फ़ x इमेज दूर हैं।,,
10,You are just x images away from earning your Platinum Badge.,आप अपना प्लैटिनम बैज जीतने से सिर्फ़ x इमेज दूर हैं।,,
14,Help your language pair achieve it’s goal of 10000 translations. We know you can do more!,अपनी भाषा के लिए 10000 अनुवादों का लक्ष्य हासिल करने में मदद करें।  हम जानते हैं कि आप और भी बहुत कुछ कर सकते हैं!,,
8,You are just x sentences away from earning your Bronze Badge.,आप अपना कांस्य/ब्रोंज बैज जीतने से सिर्फ़ x वाक्य दूर हैं।,,
9,You are just x sentences away from earning your Silver Badge.,आप अपना रजत/सिल्वर बैज जीतने से सिर्फ़ x वाक्य दूर हैं।,,
10,You are just x sentences away from earning your Gold Badge.,आप अपना स्वर्ण/गोल्ड बैज जीतने से सिर्फ़ x वाक्य दूर हैं।,,
11,You are just x sentences away from earning your Platinum Badge.,आप अपना प्लैटिनम बैज जीतने से सिर्फ़ x वाक्य दूर हैं।,,
3,seconds,सेकंड,,
8,x recording(s) contributed,x रिकॉर्डिंग का योगदान दिया गया,,
13,You’ve earned your Bhasha Samarthak title,आपने अपना भाषा समर्थक टाइटल जीत लिया है,,
14,Contributor level achieved for contributing 5 sentences.,5 वाक्यों का योगदान देकर योगदानकर्ता लेवल हासिल किया गया।,,
15,Your next goal is to reach x sentences to unlock your Silver Bhasha Samarthak title.,अपना सिल्वर/रजत भाषा समर्थक टाइटल जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है।,,
16,Your next goal is to reach x sentences to unlock your Gold Bhasha Samarthak title.,अपना गोल्ड/स्वर्ण भाषा समर्थक टाइटल जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है।,,
17,Your next goal is to reach x sentences to unlock your Platinum Bhasha Samarthak title.,अपना प्लैटिनम भाषा समर्थक टाइटल जीतने के लिए आपका अगला लक्ष्य x वाक्यों तक पहुंचना है।,,
18,National Language Translation Mission,राष्ट्रीय भाषा अनुवाद मिशन,,
20,Share,शेयर करें,,
21,Bhasha Samarthak ID,भाषा समर्थक आईडी,,
23,You are driving the spirit of your language,आप अपनी भाषा को बढ़ाने में मदद कर रहे हैं,,
30,You’ve earned your Bronze Bhasha Samarthak title,आपने अपना ब्रोंज/कांस्य भाषा समर्थक टाइटल जीत लिया है,,
31,You’ve earned your Silver Bhasha Samarthak title,आपने अपना सिल्वर/रजत भाषा समर्थक टाइटल जीत लिया है,,
32,You’ve earned your Gold Bhasha Samarthak title,आपने अपना गोल्ड/स्वर्ण भाषा समर्थक टाइटल जीत लिया है,,
33,You’ve earned your Platinum Bhasha Samarthak title,आपने अपना प्लैटिनम भाषा समर्थक टाइटल जीत लिया है,,
34,Bronze Contributor level achieved for validating x sentences.,x वाक्यों का सत्यापन कर ब्रोंज/कांस्य योगदानकर्ता लेवल हासिल किया गया।,,
35,Silver Contributor level achieved for validating x sentences.,x वाक्यों का सत्यापन कर सिल्वर/रजत योगदानकर्ता लेवल हासिल किया गया।,,
36,Gold Contributor level achieved for validating x sentences.,x वाक्यों का सत्यापन कर गोल्ड/स्वर्ण योगदानकर्ता लेवल हासिल किया गया।,,
37,Platinum Contributor level achieved for validating x sentences.,x वाक्यों का सत्यापन कर प्लैटिनम योगदानकर्ता लेवल हासिल किया गया।,,
41,Thank you for your enthusiasm to contribute your voice.,पूरे उत्साह के साथ अपनी आवाज़ का योगदान देने के लिए आपका धन्यवाद।,,
45,Contribute/Validate x hours to unlock your 1st Bhasha Samarthak title.,अपना पहला भाषा समर्थक टाइटल जीतने के लिए x घंटों का योगदान/सत्यापन करें।,,
47,Enrich your language by donating your voice,अपनी आवाज़ का योगदान देकर अपनी भाषा को समृद्ध बनाएं,,
49,Low/No Ambience noise,कम/कोई एंबियंस नॉइज़ नहीं,,
50,Low/No Background noise,कम/कोई बैकग्राउंड नॉइज़ नहीं,,
51,Please speak clearly,कृपया साफ़-साफ़ बोलें,,
53,"""x"" Contributor level achieved for contributing ""y"" sentences","""y"" वाक्यों का योगदान देकर ""x"" योगदानकर्ता लेवल हासिल किया गया",,
54,Download,डाउनलोड करें,,
33,Mother Tongue,मातृभाषा,,
34,Select Mothertongue,मातृभाषा चुनें,,
36,Age Group,आयु वर्ग,,
37,Select age group,आयु वर्ग चुनें,,
39,Gender,लिंग,,
40,"Male / Female / Others  (Transgender - He, Transgender - She, Rather Not Say)","पुरुष / महिला / अन्य (ट्रांसजेंडर - पुरुष, ट्रांसजेंडर - महिला, बताना नहीं चाहते)",,
2,Data Source,डेटा स्रोत,,
3,Source :,स्रोत :,,
4,"If you are the copyright holder of this data and believe it should not be used in the platform, please send us an email to <email> with evidence that you are indeed the copyright holder of this data.

We will attempt to validate the same and remove the data from our platform within 15 days on a best effort basis.","अगर आप इस डेटा के कॉपीराइट धारक हैं और आपको लगता है कि इसका इस्तेमाल इस प्लैटफ़ॉर्म पर नहीं किया जाना चाहिए, तो कृपया इस साक्ष्य के साथ <ईमेल> पर हमें एक ईमेल भेजें कि आप वाकई इस डेटा के कॉपीराइट धारक हैं।
हम इसका सत्यापन करने की कोशिश करेंगे और अपने सर्वोत्तम प्रयास के आधार पर 15 दिनों के भीतर हमारे प्लैटफ़ॉर्म से इस डेटा को हटा देंगे। ",,
6,Bhasha Samarthak Levels,भाषा समर्थक लेवल,,
7,"Earn title of Bhasha Samarthak by contributing to Bolo India. Speak a sentence in language of your choice or validate the sentence that is spoken on your desired language. Share titles in your social circle, build the hype, motivate your friends and family to contribute towards the cause. The strength of Bolo India is in the diversity of the people i.e. YOU.","बोलो इंडिया में योगदान देकर भाषा समर्थक का टाइटल जीतें। अपनी पसंद की भाषा में कोई वाक्य बोलें या अपनी पसंद की भाषा में बोले गए किसी वाक्य को सत्यापित करें। अपने सोशल सर्कल में टाइटल शेयर करें, अपने समर्थकों का दायरा बढ़ाएं, अपने दोस्तों और परिवार के सदस्यों को इस पहल में योगदान देने के लिए प्रेरित करें। बोलो इंडिया की ताकत आप जैसे लोगों की विविधता में निहित है। ",,
9,"The levels are defined by an overall contributions in each initiative. To understand the criteria for earning title, please select the initiative and language of your desire","हर पहल में कुल योगदानों के अनुसार लेवल तय किए जाते हैं। टाइटल जीतने के मानदंड को समाझने के लिए, कृपया अपनी पसंद की भाषा और पहल को चुनें",,
10,Title,टाइटल,,
11,"Please note that your levels and titles may take upto 48hrs to update. Your contribution does not expire, but may decrease though if it doesn’t pass the validation test. We want you to remain an active contributor to Bolo India and stand a chance to get recognised by the Ministry of Electronics and Information Technology.","कृपया ध्यान दें कि आपके लेवल और बैज अपडेट होने में 48 घंटे तक लग सकते हैं। आपके योगदान की समयसीमा ख़त्म नहीं होती है, लेकिन सत्यापन की जांच में पास नहीं होने पर उसमें कमी आ सकती है। हम चाहते हैं कि आप बोलो इंडिया के लिए एक सक्रिय योगदानकर्ता बने रहें और इलेक्ट्रॉनिकी एवं सूचना प्रौद्योगिकी मंत्रालय द्वारा मान्यता पाने का मौक़ा बनाए रखें।",,
14,"Recording : 5 Sentences/
Labelling: 5 Images
Translating: 5 Sentences
Transcribing: 5 Sentences

Validating: 5 Sentences
","रिकॉर्डिंग: 5 वाक्य/
लेबलिंग: 5 इमेज
अनुवाद: 5 वाक्य
लिप्यंतरण: 5 वाक्य

सत्यापन: 5 वाक्य ",,
15,Bronze,कांस्य/ब्रोंज,,
17,"Recording : 50 Sentences/
Labelling: 50 Images
Translating: 50 Sentences
Transcribing: 50 Sentences

Validating: 50 Sentences
","रिकॉर्डिंग: 50 वाक्य/
लेबलिंग: 50 इमेज
अनुवाद: 50 वाक्य
लिप्यंतरण: 50 वाक्य

सत्यापन: 50 वाक्य ",,
18,Silver,सिल्वर,,
20,"Recording : 100 Sentences/
Labelling: 100 Images
Translating: 100 Sentences
Transcribing: 100 Sentences

Validating: 100 Sentences","रिकॉर्डिंग: 100 वाक्य/
लेबलिंग: 100 इमेज
अनुवाद: 100 वाक्य
लिप्यंतरण: 100 वाक्य

सत्यापन: 100 वाक्य ",,
21,Gold,स्वर्ण/गोल्ड,,
22,4,4,,
23,"Recording : 200 Sentences/
Labelling: 200 Images
Translating: 200 Sentences
Transcribing: 200 Sentences

Validating: 200 Sentences

","रिकॉर्डिंग: 200 वाक्य/
लेबलिंग: 200 इमेज
अनुवाद: 200 वाक्य
लिप्यंतरण: 200 वाक्य

सत्यापन: 200 वाक्य ",,
24,Platinum,प्लैटिनम,,
26,User Details,उपयोगकर्ता की जानकारी,,
28,All the fields are optional but you can enrich your dataset contribution by providing the demographic details.,"सभी फ़ील्ड वैकल्पिक हैं, लेकिन आप अपनी जनसांख्यिकीय जानकारी देकर अपने डेटासेट के योगदान को बढ़ा सकते हैं।",,
29,By proceeding ahead you agree to the Terms and Conditions,आगे बढ़ने का मतलब है कि आप इन नियमों और शर्तों से सहमत हैं,,
31,Done,हो गया,,
33,Name,नाम,,
34,Enter Username,उपयोगकर्ता नाम डालें,,
35,"Only 12 character allowed. (Hint: name.surname, name_surname12 etc.)","सिर्फ़ 12 वर्णों की अनुमति है। (सुझाव: name.surname, name_surname12 आदि)",,
38,Change User,उपयोगकर्ता बदलें,,
40,"One platform, multiple crowdsourcing initiatives","एक प्लैटफ़ॉर्म, एक से ज़्यादा क्राउडसोर्सिंग पहल",,
41,"Enrich open repository of Speech Recognition data, Parallel translations and Labeled Images.","बोली पहचान के डेटा, समानांतर अनुवाद और लेबल की गई इमेज की ओपन रिपॉज़िटरी को समृद्ध करें। ",,
45,Engaging with this platform will make you bhasha samarthak and add to your pride of enriching data for your local languages,इस प्लैटफ़ॉर्म से जुड़कर आप भाषा समर्थक बन जाएंगे और अपनी स्थानीय भाषाओं के लिए डेटा को समृद्ध करने का अपना गौरव बढ़ाएं,,
46,To win bhasha samarthak - bronze,भाषा समर्थक - ब्रोंज/कांस्य जीतने के लिए,,
2,images,इमेज,,
6,x image label(s) contributed,x इमेज लेबल का योगदान दिया गया,,
7,You are just x images away from earning your Bronze Bhasha Samarthak title.,आप अपना ब्रोंज/कांस्य भाषा समर्थक टाइटल जीतने से सिर्फ़ x इमेज दूर हैं।,,
8,You are just x images away from earning your Silver Bhasha Samarthak title.,आप अपना सिल्वर/रजत भाषा समर्थक टाइटल जीतने से सिर्फ़ x इमेज दूर हैं।,,
9,You are just x images away from earning your Gold Bhasha Samarthak title.,आप अपना गोल्ड/स्वर्ण भाषा समर्थक टाइटल जीतने से सिर्फ़ x इमेज दूर हैं।,,
10,You are just x images away from earning your Platinum Bhasha Samarthak title.,आप अपना प्लैटिनम भाषा समर्थक टाइटल जीतने से सिर्फ़ x इमेज दूर हैं।,,
14,Help your language achieve it’s goal of 10000 images. We know you can do more!,अपनी भाषा के लिए 10000 इमेज का लक्ष्य हासिल करने में मदद करें। हम जानते हैं कि आप और भी बहुत कुछ कर सकते हैं!,,
19,x image label(s) validated,x इमेज लेबल सत्यापित किए गए,,
22,Thank you for your enthusiasm to label the images.,पूरे उत्साह के साथ इमेज को लेबल करने के लिए आपका धन्यवाद।,,
24,Back to Dekho India Home,देखो इंडिया के होम पेज पर वापस जाएं,,
26,Thank you for your enthusiasm to validate the image labels.,पूरे उत्साह के साथ इमेज लेबलों को सत्यापित करने के लिए आपका धन्यवाद।,,
28,Enrich your language by labelling images,इमेज को लेबल करके अपनी भाषा को समृद्ध बनाएं,,
30,Contribute/Validate x sentences to unlock your 1st Bhasha Samarthak title.,अपना पहला भाषा समर्थक टाइटल जीतने के लिए x वाक्यों का योगदान/सत्यापन करें।,,
32,You’ve won a Bronze/Silver/Gold/Platinum Bhasha Samarthak title for contributing to Dekho India.,देखो इंडिया में योगदान देकर आपने ब्रोंज/सिल्वर/गोल्ड/प्लैटिनम भाषा समर्थक टाइटल जीता है।,,
34,your Bhasha Samarthak titles,आपके भाषा समर्थक टाइटल,,
2,translations,अनुवाद,,
7,You are just 'x' sentences away from earning your Bronze Bhasha Samarthak title.,आप अपना ब्रोंज/कांस्य भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
8,You are just 'x' sentences away from earning your Silver Bhasha Samarthak title.,आप अपना सिल्वर/रजत भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
9,You are just 'x' sentences away from earning your Gold Bhasha Samarthak title.,आप अपना गोल्ड/स्वर्ण भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
10,You are just 'x' sentences away from earning your Platinum Bhasha Samarthak title.,आप अपना प्लैटिनम भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
14,Enrich your language achieve it’s goal of 10000 translations. We know you can do more!,अपनी भाषा के लिए 10000 अनुवाद का लक्ष्य हासिल करने में मदद करें। हम जानते हैं कि आप और भी बहुत कुछ कर सकते हैं!,,
19,x' sentence(s) validated,x वाक्य/वाक्यों का सत्यापन किया गया,,
22,Thank you for your enthusiasm to translate the sentences.,पूरे उत्साह के साथ वाक्यों का अनुवाद करने के लिए आपका धन्यवाद।,,
24,Back to Likho India Home,लिखो इंडिया के होम पेज पर वापस जाएं,,
26,Thank you for your enthusiasm to validate the translations.,पूरे उत्साह के साथ अनुवादों को सत्यापित करने के लिए आपका धन्यवाद।,,
28,Enrich your language by translating text,टेक्स्ट का अनुवाद करके अपनी भाषा को समृद्ध बनाएं,,
0,Thank you for contributing!,योगदान देने के लिए आपका धन्यवाद!,,
1,Your language and top 3 most contributed languages,आपकी भाषा और सबसे अधिक योगदान वाली मुख्य 3 भाषाएं,,
2,hours,घंटे,,
3,minutes,मिनट,,
5,You are a champion,आप एक चैंपियन हैं,,
6,You took the first important step,आपने पहला महत्वपूर्ण कदम उठा लिया है,,
7,x sentence(s) contributed,x वाक्य/वाक्यों का योगदान दिया गया,,
8,You are just x sentences away from earning your Bronze Bhasha Samarthak title.,आप अपना ब्रोंज/कांस्य भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
9,You are just x sentences away from earning your Silver Bhasha Samarthak title.,आप अपना सिल्वर/रजत भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
10,You are just x sentences away from earning your Gold Bhasha Samarthak title.,आप अपना गोल्ड/स्वर्ण भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
11,You are just x sentences away from earning your Platinum Bhasha Samarthak title.,आप अपना प्लैटिनम भाषा समर्थक टाइटल जीतने से सिर्फ़ x वाक्य दूर हैं।,,
12,Know More,अधिक जानें,,
13,Share it with your friends and family,इसे अपने दोस्तों और परिवार के सदस्यों के साथ शेयर करें,,
15,Help your language achieve it’s goal of 100 hrs. We know you can do more!,अपनी भाषा के लिए 100 घंटों का लक्ष्य हासिल करने में मदद करें। हम जानते हैं कि आप और भी बहुत कुछ कर सकते हैं!,,
16,Contribute More,और योगदान करें,,
18,Come back again to hit your goal post,अपने लक्ष्य को साधने के लिए फिर से वापस आएं,,
19,away from reaching your goal!,आप अपने लक्ष्य तक पहुंचने से बस इतनी दूर हैं!,,
21,Thank you for validating!,सत्यापन करने के लिए आपका धन्यवाद!,,
23,x sentence(s) validated,x वाक्य/वाक्यों का सत्यापन किया गया,,
24,Validate More,और सत्यापन करें,,
26,Thank you for your enthusiasm to transcribe the recordings.,पूरे उत्साह के साथ रिकॉर्डिंग को लिप्यंतरित करने के लिए आपका धन्यवाद।,,
27,We do not have any data in <y> language. Please try again later.,हमारे पास <y> भाषा में कोई डेटा उपलब्ध नहीं है। कृपया बाद में फिर से कोशिश करें।,,
28,Back to Suno India Home,सुनो इंडिया के होम पेज पर वापस जाएं,,
30,Thank you for your enthusiasm to validate the recordings.,पूरे उत्साह के साथ रिकॉर्डिंग को सत्यापित करने के लिए आपका धन्यवाद।,,
32,Enrich your language by transcribing audio into text,ऑडियो को टेक्स्ट में लिप्यंतरित करके अपनी भाषा को समृद्ध बनाएं,,
34,Thank you for your enthusiasm to contribute,पूरे उत्साह के साथ योगदान देने के लिए आपका धन्यवाद।,,
1,,,Help us by validating the recordings that others have contributed,home page
1,,,Please validate any error message before proceeding,ਜਾਰੀ ਰੱਖਣ ਤੋਂ ਪਹਿਲਾਂ ਕਿਸੇ ਵੀ ਗ਼ਲਤੀ ਸੁਨੇਹੇ ਨੂੰ ਪ੍ਰਮਾਣਿਤ ਕਰੋ
